;KONEÈNÉ POØADÍ SPAC 2007;;;;;;;;;;;;;;;;;;;;
;10. roèník;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Kategorie A;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
poøadí;pøíjmení;jméno;klub;9 nej.;TdÈ;Boh;VP;TdJ;FT;KG;ŽD;5hod;VC L;krit;M60;PÈ;2boj;èas;celkem;;
95;ŠNAJDR;Jiøí;SK VALAŠSKÉHO KRÁLOVSTVÍ;21;0;0;0;0;0;0;0;0;0;0;21;0;0;0;21;131;0
96;ŠARMAN;Petr;;21;0;0;0;0;0;0;0;0;0;0;0;0;0;21;21;131;0
97;KARMELITA;Tomáš;HaF OPAVA;20;0;0;0;0;0;20;0;0;0;0;0;0;0;0;20;131;0
98;KÁBRT;Miloslav;BOHUÒOVICE;20;0;0;20;0;0;0;0;0;0;0;0;0;0;0;20;131;0
99;SOSNA;Jakub;;20;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;131;0
100;NOVOTNÝ;Daniel;MAX CURSOR;19;19;0;0;0;0;0;0;0;0;0;0;0;0;0;19;131;0
101;KABRT;Miroslav;BOHUÒOVICE;19;0;0;0;0;0;12;7;0;0;0;0;0;0;0;19;131;0
102;BARTOŠ;Michal;SK MAXBIKE ORLOVÁ;19;0;0;0;0;0;0;0;19;0;0;0;0;0;0;19;131;0
103;NOVOTNÝ;Petr;GOOFY team;18;0;0;0;0;0;18;0;0;0;0;0;0;0;0;18;131;0
104;GAWEL;Przemek;;18;0;0;0;18;0;0;0;0;0;0;0;0;0;0;18;131;0
105;KARGER;Pavel;AUTHOR TUFO;18;0;0;0;0;0;0;18;0;0;0;0;0;0;0;18;131;0
106;KOÒARIK;David;CSC ŠUMPERK;17;0;0;0;0;0;0;17;0;0;0;0;0;0;0;17;131;0
107;GREPL;Radim;SK SPORT KLAPKA;17;0;0;0;0;0;0;0;17;0;0;0;0;0;0;17;131;0
108;KOPECKÝ;Tomáš;ACS DRAK VRBNO;16;0;0;0;0;0;0;16;0;0;0;0;0;0;0;16;131;0
109;HANUSEK;Tomáš;SK ŠAFRATA BOHUMÍN;16;0;0;0;0;0;0;0;16;0;0;0;0;0;0;16;131;0
110;PETRÁŠ;Martin;CK FRENŠTÁT P.R. 2;16;0;0;0;0;0;0;0;0;16;0;0;0;0;0;16;131;0
111;NETEK;Rostislav;BULDOCI RAPOTÍN;13;0;0;0;0;0;13;0;0;0;0;0;0;0;0;13;131;0
112;MATOUŠEK;Pavel;ETAPE DUKLA BRNO;13;0;0;0;0;0;0;13;0;0;0;0;0;0;0;13;131;0
113;VIDECKÝ;Karel;MAX KLUB;13;0;0;0;0;0;0;0;0;13;0;0;0;0;0;13;131;0
114;SLYTUK;Robert;AGK RYBNIK;11;0;0;0;0;0;11;0;0;0;0;0;0;0;0;11;131;0
115;DŽALAJ;Karol;NEREUS ŽILINA;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;11;131;0
116;MRUZEK;Michal;SUNDANCE OPAVA;10;0;0;0;0;0;0;10;0;0;0;0;0;0;0;10;131;0
117;BUGLA;Lukasz;PROGRES;9;0;0;0;0;0;0;9;0;0;0;0;0;0;0;9;131;0
118;KRÙPA;Zdenìk;CK FRENŠTÁT P.R. 2;9;8;0;0;0;0;0;0;0;1;0;0;0;0;0;9;131;0
119;SITRZEDOLE;Lukáš;DOBRAVA;9;0;0;0;0;0;0;0;0;9;0;0;0;0;0;9;131;0
120;PAVLISKA;Michal;FRÝDEK - MÍSTEK;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;7;131;0
121;MIKULECKÝ;Robin;KRNOV;6;0;0;0;0;0;6;0;0;0;0;0;0;0;0;6;131;0
122;WOSCHANK;Armin;GOOFY team;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;5;131;0
